,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sh_against,sot_against,dist_against,fk_against,pk_against,pkatt_against,season,team
0,2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,8,0,FC Teutonia Ottensen,,,66.0,11035,Lukáš Hrádecký,4-2-3-1,Tom Bauer,Match Report,,22.0,11.0,,,1,1,5.0,1.0,,,0,0,2024,Bayer Leverkusen
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,2,RB Leipzig,1.4,1.6,44.0,29464,Lukáš Hrádecký,3-4-3,Felix Brych,Match Report,,11.0,7.0,19.0,0.0,0,0,14.0,6.0,15.5,0.0,0,0,2024,Bayer Leverkusen
2,2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3,0,Gladbach,2.7,0.9,60.0,54042,Lukáš Hrádecký,3-4-3,Christian Dingert,Match Report,,24.0,11.0,15.8,0.0,0,0,12.0,2.0,19.4,0.0,0,0,2024,Bayer Leverkusen
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5,1,Darmstadt 98,2.8,0.4,72.0,29653,Lukáš Hrádecký,3-4-3,Sven Jablonski,Match Report,,25.0,13.0,17.3,1.0,0,0,5.0,1.0,17.8,0.0,0,0,2024,Bayer Leverkusen
4,2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Away,D,2,2,Bayern Munich,2.1,2.1,49.0,75000,Lukáš Hrádecký,3-4-3,Daniel Schlager,Match Report,,12.0,4.0,20.7,1.0,1,1,16.0,9.0,13.1,0.0,0,0,2024,Bayer Leverkusen
5,2023-09-21,18:45,Europa Lg,Group stage,Thu,Home,W,4,0,se Häcken,3.0,0.4,56.0,25402,Jonathan Tah,4-4-2,Manfredas Lukjančukas,Match Report,,22.0,10.0,20.2,0.0,0,0,11.0,6.0,21.4,0.0,0,0,2024,Bayer Leverkusen
6,2023-09-24,15:30,Bundesliga,Matchweek 5,Sun,Home,W,4,1,Heidenheim,3.4,0.5,71.0,29557,Lukáš Hrádecký,3-4-3,Christian Dingert,Match Report,,20.0,9.0,16.7,0.0,1,1,2.0,2.0,13.8,0.0,0,0,2024,Bayer Leverkusen
7,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3,0,Mainz 05,1.1,0.5,55.0,33305,Lukáš Hrádecký,3-4-3,Benjamin Brand,Match Report,,6.0,3.0,20.6,2.0,0,0,10.0,3.0,18.7,1.0,0,0,2024,Bayer Leverkusen
8,2023-10-05,21:00,Europa Lg,Group stage,Thu,Away,W,2,1,no Molde,1.7,1.3,62.0,8190,Jonathan Tah,3-4-3,Anastasios Papapetrou,Match Report,,12.0,3.0,16.4,1.0,0,0,15.0,5.0,16.9,0.0,0,0,2024,Bayer Leverkusen
9,2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Home,W,3,0,Köln,3.2,1.3,64.0,30210,Lukáš Hrádecký,3-4-3,Felix Zwayer,Match Report,,23.0,10.0,16.6,0.0,0,0,7.0,3.0,11.3,0.0,0,0,2024,Bayer Leverkusen
10,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,W,2,1,Wolfsburg,1.9,1.4,58.0,28917,Lukáš Hrádecký,3-4-3,Marco Fritz,Match Report,,13.0,7.0,14.1,0.0,0,0,18.0,6.0,20.1,1.0,0,0,2024,Bayer Leverkusen
11,2023-10-26,21:00,Europa Lg,Group stage,Thu,Home,W,5,1,az Qarabağ,2.5,0.9,61.0,29039,Robert Andrich,4-2-3-1,Horațiu Fesnic,Match Report,,21.0,10.0,16.4,2.0,0,0,2.0,1.0,32.1,0.0,1,1,2024,Bayer Leverkusen
12,2023-10-29,17:30,Bundesliga,Matchweek 9,Sun,Home,W,2,1,Freiburg,1.4,0.9,70.0,30210,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,18.0,4.0,20.5,1.0,0,0,10.0,3.0,15.4,0.0,0,0,2024,Bayer Leverkusen
13,2023-11-01,18:00,DFB-Pokal,Round of 32,Wed,Away,W,5,2,Sandhausen,,,73.0,10222,Jonathan Tah,4-2-3-1,Richard Hempel,Match Report,,30.0,11.0,,,1,1,11.0,3.0,,,0,0,2024,Bayer Leverkusen
14,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,W,3,2,Hoffenheim,1.0,1.7,53.0,30150,Lukáš Hrádecký,3-4-3,Frank Willenborg,Match Report,,9.0,5.0,17.8,0.0,0,0,12.0,7.0,20.8,0.0,0,0,2024,Bayer Leverkusen
15,2023-11-09,21:45,Europa Lg,Group stage,Thu,Away,W,1,0,az Qarabağ,1.7,0.9,62.0,30055,Jonathan Tah,3-4-3,Craig Pawson,Match Report,,10.0,2.0,19.7,0.0,1,1,11.0,2.0,18.0,0.0,0,0,2024,Bayer Leverkusen
16,2023-11-12,15:30,Bundesliga,Matchweek 11,Sun,Home,W,4,0,Union Berlin,2.4,0.0,69.0,29387,Lukáš Hrádecký,3-4-3,Timo Gerach,Match Report,,18.0,10.0,15.6,1.0,0,0,2.0,2.0,20.4,0.0,0,0,2024,Bayer Leverkusen
17,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,W,3,0,Werder Bremen,1.0,0.2,59.0,42100,Lukáš Hrádecký,3-4-3,Martin Petersen,Match Report,,14.0,4.0,16.8,0.0,0,0,2.0,1.0,12.1,0.0,0,0,2024,Bayer Leverkusen
18,2023-11-30,21:00,Europa Lg,Group stage,Thu,Away,W,2,0,se Häcken,1.7,1.3,54.0,11234,Jonathan Tah,4-2-3-1,Julian Weinberger,Match Report,,10.0,5.0,16.4,0.0,0,0,11.0,6.0,19.3,0.0,0,0,2024,Bayer Leverkusen
19,2023-12-03,17:30,Bundesliga,Matchweek 13,Sun,Home,D,1,1,Dortmund,2.1,0.7,69.0,30210,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,23.0,6.0,20.3,1.0,0,0,6.0,2.0,15.9,0.0,0,0,2024,Bayer Leverkusen
20,2023-12-06,18:00,DFB-Pokal,Round of 16,Wed,Home,W,3,1,Paderborn 07,,,65.0,29249,Robert Andrich,3-4-3,Tobias Stieler,Match Report,,15.0,8.0,,,0,0,9.0,4.0,,,0,0,2024,Bayer Leverkusen
