,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sh_against,sot_against,dist_against,fk_against,pk_against,pkatt_against,season,team
0,2023-08-12,21:00,Ligue 1,Matchweek 1,Sat,Home,D,0,0,Lorient,1.2,0.1,78.0,47000.0,Danilo Pereira,4-3-3,Bastien Dechepy,Match Report,,20.0,4.0,18.9,1.0,0,0,4.0,0.0,27.3,0.0,0,0,2024,Paris Saint Germain
1,2023-08-19,21:00,Ligue 1,Matchweek 2,Sat,Away,D,1,1,Toulouse,2.1,1.2,76.0,27332.0,Marquinhos,4-3-3,Thomas Léonard,Match Report,,15.0,2.0,15.9,0.0,1,1,7.0,1.0,23.1,0.0,1,1,2024,Paris Saint Germain
2,2023-08-26,21:00,Ligue 1,Matchweek 3,Sat,Home,W,3,1,Lens,1.5,0.5,66.0,47864.0,Marquinhos,4-4-2,François Letexier,Match Report,,17.0,6.0,19.9,1.0,0,0,12.0,4.0,19.2,1.0,0,0,2024,Paris Saint Germain
3,2023-09-03,20:45,Ligue 1,Matchweek 4,Sun,Away,W,4,1,Lyon,4.5,2.1,69.0,51657.0,Marquinhos,4-4-2,Eric Wattellier,Match Report,,21.0,7.0,16.0,0.0,1,1,18.0,7.0,16.5,0.0,1,1,2024,Paris Saint Germain
4,2023-09-15,21:00,Ligue 1,Matchweek 5,Fri,Home,L,2,3,Nice,1.0,1.3,69.0,47874.0,Kylian Mbappé,4-3-3,Clément Turpin,Match Report,,12.0,3.0,20.6,1.0,0,0,14.0,8.0,17.0,0.0,0,0,2024,Paris Saint Germain
5,2023-09-19,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,de Dortmund,2.4,0.7,67.0,47379.0,Marquinhos,4-3-3,Jesús Gil,Match Report,,16.0,2.0,18.5,0.0,1,1,14.0,1.0,19.0,0.0,0,0,2024,Paris Saint Germain
6,2023-09-24,20:45,Ligue 1,Matchweek 6,Sun,Home,W,4,0,Marseille,1.9,0.7,76.0,47000.0,Marquinhos,4-4-2,Willy Delajod,Match Report,,15.0,5.0,18.5,2.0,0,0,6.0,0.0,18.3,0.0,0,0,2024,Paris Saint Germain
7,2023-09-30,17:00,Ligue 1,Matchweek 7,Sat,Away,D,0,0,Clermont Foot,3.0,1.0,67.0,10757.0,Marquinhos,4-4-2,Marc Bollengier,Match Report,,21.0,10.0,16.7,0.0,0,0,12.0,3.0,16.9,0.0,0,0,2024,Paris Saint Germain
8,2023-10-04,20:00,Champions Lg,Group stage,Wed,Away,L,1,4,eng Newcastle Utd,0.9,0.9,73.0,52009.0,Marquinhos,4-2-3-1,István Kovács,Match Report,,11.0,2.0,21.4,0.0,0,0,12.0,8.0,17.3,1.0,0,0,2024,Paris Saint Germain
9,2023-10-08,20:45,Ligue 1,Matchweek 8,Sun,Away,W,3,1,Rennes,3.5,1.1,58.0,27734.0,Marquinhos,4-3-3,Benoît Bastien,Match Report,,17.0,7.0,15.5,1.0,0,0,14.0,4.0,16.3,0.0,0,0,2024,Paris Saint Germain
10,2023-10-21,17:00,Ligue 1,Matchweek 9,Sat,Home,W,3,0,Strasbourg,2.0,0.4,76.0,41261.0,Marquinhos,4-2-2-2,Bastien Dechepy,Match Report,,7.0,3.0,14.1,0.0,1,1,7.0,1.0,18.3,0.0,0,0,2024,Paris Saint Germain
11,2023-10-25,21:00,Champions Lg,Group stage,Wed,Home,W,3,0,it Milan,1.3,0.6,61.0,45962.0,Marquinhos,4-3-3,Slavko Vinčič,Match Report,,13.0,7.0,19.2,0.0,0,0,11.0,4.0,18.7,1.0,0,0,2024,Paris Saint Germain
12,2023-10-29,13:00,Ligue 1,Matchweek 10,Sun,Away,W,3,2,Brest,2.1,1.8,56.0,15183.0,Kylian Mbappé,4-2-2-2,Jérôme Brisard,Match Report,,16.0,9.0,18.2,0.0,0,1,21.0,5.0,16.2,0.0,0,0,2024,Paris Saint Germain
13,2023-11-03,21:00,Ligue 1,Matchweek 11,Fri,Home,W,3,0,Montpellier,1.1,0.5,70.0,47647.0,Marquinhos,4-2-2-2,Ruddy Buquet,Match Report,,21.0,9.0,18.7,1.0,0,0,7.0,2.0,21.1,2.0,0,0,2024,Paris Saint Germain
14,2023-11-07,21:00,Champions Lg,Group stage,Tue,Away,L,1,2,it Milan,1.5,1.4,69.0,75649.0,Marquinhos,4-3-3,Jesús Gil,Match Report,,17.0,6.0,17.0,0.0,0,0,16.0,8.0,17.1,2.0,0,0,2024,Paris Saint Germain
15,2023-11-11,17:00,Ligue 1,Matchweek 12,Sat,Away,W,3,0,Reims,2.3,1.3,61.0,20500.0,Marquinhos,4-2-2-2,Willy Delajod,Match Report,,14.0,6.0,16.0,0.0,0,0,19.0,6.0,14.0,1.0,0,0,2024,Paris Saint Germain
16,2023-11-24,21:00,Ligue 1,Matchweek 13,Fri,Home,W,5,2,Monaco,2.6,1.6,54.0,47896.0,Kylian Mbappé,4-3-3,Benoît Bastien,Match Report,,15.0,10.0,16.2,0.0,1,1,14.0,7.0,16.3,0.0,0,0,2024,Paris Saint Germain
17,2023-11-28,21:00,Champions Lg,Group stage,Tue,Home,D,1,1,eng Newcastle Utd,4.4,1.3,72.0,46435.0,Kylian Mbappé,4-3-3,Szymon Marciniak,Match Report,,30.0,6.0,17.9,0.0,1,1,5.0,2.0,17.6,1.0,0,0,2024,Paris Saint Germain
18,2023-12-03,13:00,Ligue 1,Matchweek 14,Sun,Away,W,2,0,Le Havre,1.2,2.0,39.0,23718.0,Kylian Mbappé,4-3-3,Bastien Dechepy,Match Report,,9.0,5.0,18.2,0.0,0,0,22.0,6.0,17.1,1.0,0,0,2024,Paris Saint Germain
19,2023-12-09,21:00,Ligue 1,Matchweek 15,Sat,Home,W,2,1,Nantes,2.0,0.5,65.0,47926.0,Marquinhos,4-3-3,Jérôme Brisard,Match Report,,16.0,6.0,15.3,0.0,0,0,10.0,4.0,19.9,0.0,0,0,2024,Paris Saint Germain
20,2023-12-13,21:00,Champions Lg,Group stage,Wed,Away,D,1,1,de Dortmund,2.8,1.4,59.0,81365.0,Marquinhos,3-4-3,Glenn Nyberg,Match Report,,18.0,5.0,17.3,1.0,0,0,10.0,6.0,19.3,0.0,0,0,2024,Paris Saint Germain
21,2023-12-17,20:45,Ligue 1,Matchweek 16,Sun,Away,D,1,1,Lille,1.4,1.4,59.0,47993.0,Marquinhos,3-4-3,Willy Delajod,Match Report,,9.0,1.0,18.2,0.0,1,1,15.0,3.0,16.4,1.0,0,0,2024,Paris Saint Germain
22,2023-12-20,21:00,Ligue 1,Matchweek 17,Wed,Home,W,3,1,Metz,2.4,0.1,74.0,48229.0,Marquinhos,3-4-3,Ruddy Buquet,Match Report,,13.0,5.0,16.8,1.0,0,0,3.0,1.0,22.6,0.0,0,0,2024,Paris Saint Germain
23,2024-01-03,20:45,Trophée des Champions,Trophée des Champions,Wed,Home,W,2,0,Toulouse,,,65.0,43792.0,Marquinhos,4-3-3,Hakim Ben El Hadj Salem,Match Report,,14.0,5.0,,,0,0,17.0,6.0,,,0,0,2024,Paris Saint Germain
24,2024-01-07,20:45,Coupe de France,Round of 64,Sun,Away,W,9,0,US Revel,,,77.0,9351.0,Kylian Mbappé,4-3-3,Florent Batta,Match Report,,29.0,18.0,,,1,1,9.0,5.0,,,0,0,2024,Paris Saint Germain
25,2024-01-14,20:45,Ligue 1,Matchweek 18,Sun,Away,W,2,0,Lens,1.8,2.1,65.0,38200.0,Marquinhos,4-3-3,Jérôme Brisard,Match Report,,15.0,7.0,16.4,1.0,0,0,16.0,4.0,17.0,0.0,0,1,2024,Paris Saint Germain
26,2024-01-20,20:45,Coupe de France,Round of 32,Sat,Away,W,4,1,Orléans,,,75.0,7238.0,Marquinhos,4-2-3-1,Marc Bollengier,Match Report,,15.0,8.0,,,1,1,10.0,4.0,,,0,0,2024,Paris Saint Germain
27,2024-01-28,20:45,Ligue 1,Matchweek 19,Sun,Home,D,2,2,Brest,2.1,0.7,54.0,47000.0,Kylian Mbappé,4-3-3,Clément Turpin,Match Report,,10.0,4.0,14.1,0.0,0,0,9.0,6.0,17.5,1.0,0,0,2024,Paris Saint Germain
28,2024-02-02,21:00,Ligue 1,Matchweek 20,Fri,Away,W,2,1,Strasbourg,2.0,2.7,62.0,25834.0,Marquinhos,4-3-3,Ruddy Buquet,Match Report,,8.0,4.0,23.7,0.0,0,1,20.0,8.0,16.4,0.0,0,0,2024,Paris Saint Germain
29,2024-02-07,21:10,Coupe de France,Round of 16,Wed,Home,W,3,1,Brest,,,59.0,46895.0,Marquinhos,4-3-3,Benoît Bastien,Match Report,,20.0,8.0,,,0,0,8.0,3.0,,,0,0,2024,Paris Saint Germain
30,2024-02-10,21:00,Ligue 1,Matchweek 21,Sat,Home,W,3,1,Lille,2.8,1.2,52.0,47000.0,Danilo Pereira,4-1-4-1,François Letexier,Match Report,,16.0,8.0,18.0,1.0,0,0,10.0,3.0,15.9,0.0,0,0,2024,Paris Saint Germain
31,2024-02-14,21:00,Champions Lg,Round of 16,Wed,Home,W,2,0,es Real Sociedad,1.2,0.7,62.0,46435.0,Marquinhos,4-3-3,Marco Guida,Match Report,Leg 1 of 2,14.0,6.0,17.4,0.0,0,0,9.0,0.0,15.7,0.0,0,0,2024,Paris Saint Germain
32,2024-02-17,21:00,Ligue 1,Matchweek 22,Sat,Away,W,2,0,Nantes,1.5,1.3,77.0,34038.0,Marquinhos,4-3-3,Jérôme Brisard,Match Report,,11.0,1.0,19.5,0.0,1,1,12.0,6.0,16.5,0.0,0,0,2024,Paris Saint Germain
33,2024-02-25,17:05,Ligue 1,Matchweek 23,Sun,Home,D,1,1,Rennes,1.9,0.8,66.0,47874.0,Kylian Mbappé,4-3-3,Bastien Dechepy,Match Report,,14.0,2.0,19.8,1.0,1,1,3.0,1.0,13.7,0.0,0,0,2024,Paris Saint Germain
