,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sh_against,sot_against,dist_against,fk_against,pk_against,pkatt_against,season,team
0,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,W,2,0,Monza,2.7,0.8,47.0,72509.0,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,,22.0,3.0,17.2,1.0,0,0,12.0,2.0,17.8,0.0,0,0,2024,Internazionale
1,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Away,W,2,0,Cagliari,0.9,0.6,67.0,16412.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,17.0,3.0,15.9,0.0,0,0,12.0,2.0,17.8,0.0,0,0,2024,Internazionale
2,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,4,0,Fiorentina,3.7,0.4,40.0,72739.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,20.0,10.0,14.5,1.0,1,1,6.0,2.0,20.5,0.0,0,0,2024,Internazionale
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Home,W,5,1,Milan,2.6,1.1,41.0,75571.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,13.0,6.0,15.2,1.0,1,1,9.0,2.0,18.6,1.0,0,0,2024,Internazionale
4,2023-09-20,21:00,Champions Lg,Group stage,Wed,Away,D,1,1,es Real Sociedad,0.5,1.3,56.0,36591.0,Lautaro Martínez,3-5-2,Michael Oliver,Match Report,,6.0,1.0,14.7,0.0,0,0,14.0,5.0,15.9,1.0,0,0,2024,Internazionale
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Away,W,1,0,Empoli,1.6,0.3,61.0,15651.0,Lautaro Martínez,3-5-2,Matteo Marcenaro,Match Report,,23.0,5.0,16.8,0.0,0,0,7.0,1.0,21.2,1.0,0,0,2024,Internazionale
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,L,1,2,Sassuolo,0.9,1.0,63.0,70864.0,Lautaro Martínez,3-5-2,Luca Massimi,Match Report,,13.0,3.0,15.2,0.0,0,0,13.0,6.0,19.1,0.0,0,0,2024,Internazionale
7,2023-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,4,0,Salernitana,2.3,0.6,64.0,28085.0,Nicolò Barella,3-5-2,Rosario Abisso,Match Report,,15.0,5.0,16.8,1.0,1,1,12.0,3.0,22.6,1.0,0,0,2024,Internazionale
8,2023-10-03,21:00,Champions Lg,Group stage,Tue,Home,W,1,0,pt Benfica,3.8,0.3,47.0,66573.0,Lautaro Martínez,3-5-2,Danny Makkelie,Match Report,,21.0,7.0,14.3,1.0,0,0,6.0,3.0,16.5,0.0,0,0,2024,Internazionale
9,2023-10-07,15:00,Serie A,Matchweek 8,Sat,Home,D,2,2,Bologna,0.7,1.3,63.0,74072.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,14.0,5.0,18.3,1.0,0,0,7.0,2.0,19.9,0.0,1,1,2024,Internazionale
10,2023-10-21,18:00,Serie A,Matchweek 9,Sat,Away,W,3,0,Torino,2.5,0.4,53.0,26193.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,13.0,3.0,17.1,1.0,1,1,7.0,3.0,18.6,0.0,0,0,2024,Internazionale
11,2023-10-24,18:45,Champions Lg,Group stage,Tue,Home,W,2,1,at RB Salzburg,2.3,0.5,55.0,71825.0,Lautaro Martínez,3-5-2,François Letexier,Match Report,,16.0,2.0,16.2,0.0,1,1,11.0,6.0,20.8,0.0,0,0,2024,Internazionale
12,2023-10-29,18:00,Serie A,Matchweek 10,Sun,Home,W,1,0,Roma,2.2,0.1,63.0,75573.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,19.0,3.0,16.0,0.0,0,0,3.0,1.0,21.4,1.0,0,0,2024,Internazionale
13,2023-11-04,18:00,Serie A,Matchweek 11,Sat,Away,W,2,1,Atalanta,1.3,1.0,46.0,14945.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,9.0,3.0,23.0,1.0,1,1,14.0,4.0,14.4,0.0,0,0,2024,Internazionale
14,2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,W,1,0,at RB Salzburg,2.0,0.8,50.0,30071.0,Alessandro Bastoni,3-5-2,Serdar Gözübüyük,Match Report,,16.0,5.0,19.7,1.0,1,1,14.0,4.0,20.1,1.0,0,0,2024,Internazionale
15,2023-11-12,20:45,Serie A,Matchweek 12,Sun,Home,W,2,0,Frosinone,3.1,0.7,47.0,70816.0,Lautaro Martínez,3-5-2,Federico Dionisi,Match Report,,20.0,5.0,19.6,1.0,1,1,12.0,3.0,16.1,0.0,0,0,2024,Internazionale
16,2023-11-26,20:45,Serie A,Matchweek 13,Sun,Away,D,1,1,Juventus,0.9,0.4,65.0,41507.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,8.0,4.0,16.4,0.0,0,0,4.0,1.0,19.8,0.0,0,0,2024,Internazionale
